"town","year","puddles","umbrellas","notebooks","cocoa_cups","umbrellas_per_puddle","cocoa_per_notebook","quality_flag"
"North Brisket",2024,12,31,7,44,2.58,6.29,"usable"
"North Brisket",2025,18,39,8,51,2.17,6.38,"usable"
"Lint Harbor",2024,7,22,5,33,3.14,6.6,"usable"
"Lint Harbor",2025,9,24,5,37,2.67,7.4,"usable"
"Soggy Ledger",2024,21,48,11,62,2.29,5.64,"usable"
"Soggy Ledger",2025,23,52,12,68,2.26,5.67,"usable"
"Buttonwick",2024,5,15,4,21,3,5.25,"usable"
"Buttonwick",2025,8,18,4,25,2.25,6.25,"usable"
"Mildly Damp",2024,14,35,9,47,2.5,5.22,"usable"
"Mildly Damp",2025,15,36,9,49,2.4,5.44,"usable"
"Velvet Drain",2024,19,42,10,58,2.21,5.8,"usable"
"Velvet Drain",2025,20,46,10,63,2.3,6.3,"usable"
